**********************************************************************************************
*                                                                                            *
* Component List (Generic)                                                                   *
*                                                                                            *
* D:\UTENTI\00.LAVORI IN CORSO\METALTRONICA\22-301-0 (SCHEDA SERVIZI 2_02_2024\22-301-0.MAX  *
* Fri Feb 02 15:26:28 2024                                                                   *
*                                                                                            *
**********************************************************************************************

 REF DES    VALUE            PACKAGE          FOOTPRINT                      X LOC      Y LOC      ROTATION
------------------------------------------------------------------------------------------------------------
R16        680R             R                SMD0603                         3.18 mm    159.39 mm 270     
R17        330R             R                SMD1206                         8.26 mm    173.99 mm 90      
R18        680R             R                SMD0603                         7.62 mm    159.39 mm 270     
R19        330R             R                SMD1206                         12.70 mm   173.99 mm 90      
R20        680R             R                SMD0603                         12.07 mm   159.39 mm 270     
R21        330R             R                SMD1206                         34.93 mm   173.99 mm 90      
R22        680R             R                SMD0603                         34.29 mm   159.39 mm 270     
R23        10K              R                SMD0603                         13.34 mm   141.61 mm 90      
R24        10K              R                SMD0603                         20.32 mm   141.61 mm 90      
R25        33R              R                SMD0603                         135.26 mm  184.15 mm 90      
R26        120R             R                SMD0603                         143.51 mm  175.90 mm 270     
R27        470R             R                SMD0603                         141.61 mm  175.90 mm 270     
R28        470R             R                SMD0603                         145.42 mm  175.90 mm 270     
R29        60R              R                SMD0603                         136.53 mm  191.14 mm 180     
R30        60R              R                SMD0603                         142.88 mm  191.14 mm 0       
R31        470R             R                SMD0603                         145.42 mm  179.07 mm 270     
R39        330R             R                SMD1206                         89.54 mm   194.95 mm 180     
R40        330R             R                SMD0603                         69.85 mm   165.10 mm 180     
R41        330R             R                SMD1206                         58.42 mm   165.10 mm 180     
R42        330R             R                SMD1206                         87.63 mm   181.61 mm 180     
R43        330R             R                SMD0603                         66.04 mm   189.87 mm 180     
R44        330R             R                SMD1206                         58.42 mm   189.87 mm 180     
R45        330R             R                SMD1206                         87.63 mm   168.91 mm 180     
R46        330R             R                SMD0603                         66.04 mm   198.12 mm 180     
R47        680R             R                SMD0603                         21.59 mm   68.58 mm  90      
R48        680R             R                SMD0603                         66.04 mm   173.36 mm 0       
R49        680R             R                SMD0603                         66.04 mm   175.26 mm 0       
R50        330R             R                SMD1206                         58.42 mm   199.39 mm 180     
R51        330R             R                SMD1206                         58.42 mm   180.34 mm 180     
R52        330R             R                SMD0603                         66.04 mm   165.10 mm 0       
